n,time
1,0.0023113402061855667
2,0.002263265306122449
3,0.0022434343434343433
4,0.0023459183673469387
5,0.0022122448979591835
6,0.002208080808080808
7,0.0022153061224489796
8,0.002270408163265306
9,0.002224242424242424
10,0.002212121212121212
11,0.0022616161616161616
12,0.002182
13,0.0022262626262626265
14,0.0022515151515151515
15,0.002207142857142857
16,0.0022479591836734696
17,0.002218181818181818
18,0.0022183673469387756
19,0.0022333333333333333
20,0.0021877551020408163
21,0.0021979797979797978
22,0.0022303030303030304
23,0.002196938775510204
24,0.0021757575757575757
25,0.002217171717171717
26,0.0023041237113402063
27,0.0022173469387755103
28,0.010838947368421054
29,0.010863541666666665
30,0.010768686868686869
31,0.010772631578947369
32,0.010844791666666666
33,0.010738541666666665
34,0.010771134020618555
35,0.010766666666666667
36,0.010959183673469389
37,0.010765263157894736
38,0.01104020618556701
39,0.01071938775510204
40,0.010738775510204081
41,0.01098041237113402
42,0.010968367346938776
43,0.010753125
44,0.011058762886597937
45,0.010808421052631578
46,0.010785714285714286
47,0.01081443298969072
48,0.010743298969072165
49,0.010772631578947369
50,0.011174747474747476
51,0.010754081632653062
52,0.0108
53,0.010772164948453608
54,0.010719791666666666
55,0.010959375
56,0.011162886597938144
57,0.010935416666666668
58,0.010848421052631578
59,0.011093939393939394
60,0.010756382978723406
61,0.010839175257731957
62,0.011125252525252524
63,0.01082680412371134
64,0.010866315789473684
65,0.010892631578947367
66,0.010837373737373738
67,0.01081734693877551
68,0.011192929292929294
69,0.010857731958762886
70,0.010809183673469386
71,0.010771428571428572
72,0.010748979591836736
73,0.010941237113402062
74,0.010837755102040816
75,0.010940000000000002
76,0.011009278350515465
77,0.011224742268041238
78,0.010791
79,0.01097319587628866
80,0.011838775510204081
81,0.012161616161616162
82,0.05942142857142857
83,0.05899285714285714
84,0.056675
85,0.05636489361702128
86,0.05630520833333333
87,0.05743092783505155
88,0.05822959183673469
89,0.05700416666666667
90,0.058477551020408164
91,0.05807551020408163
92,0.05636041666666666
93,0.05621648351648352
94,0.05700714285714286
95,0.05759148936170212
96,0.058226041666666666
97,0.05728969072164949
98,0.056864893617021274
99,0.056543617021276596
100,0.0562
101,0.05680416666666666
102,0.05829183673469388
103,0.056241489361702125
104,0.05798383838383839
105,0.057920408163265304
106,0.05765510204081632
107,0.05899175257731959
108,0.05797789473684211
109,0.056312244897959184
110,0.057270408163265306
111,0.0566221052631579
112,0.05644791666666666
113,0.05805208333333334
114,0.058503
115,0.057646938775510206
116,0.05628947368421053
117,0.05717244897959184
118,0.05740520833333334
119,0.056734375000000004
120,0.05689895833333333
121,0.05652947368421053
122,0.05761473684210526
123,0.05869793814432989
124,0.056984375000000004
125,0.058425510204081633
126,0.05677127659574468
127,0.057732291666666664
128,0.05735612244897959
129,0.0558989010989011
130,0.05768282828282829
131,0.057343157894736846
132,0.05648709677419355
133,0.05781443298969072
134,0.06521212121212122
135,0.05855612244897959
136,0.058475510204081635
137,0.05654536082474226
138,0.05792244897959184
139,0.05605894736842105
140,0.05619247311827957
141,0.05739381443298969
142,0.05575212765957447
143,0.056303092783505156
144,0.0576010101010101
145,0.05594210526315789
146,0.055805434782608694
147,0.055880851063829784
148,0.05599375
149,0.057923
150,0.057684
151,0.05708585858585858
152,0.05594591836734694
153,0.0572795918367347
154,0.05658191489361702
155,0.05590816326530612
156,0.05705257731958763
157,0.05729072164948454
158,0.05731717171717172
159,0.05686907216494846
160,0.05716734693877551
161,0.056038541666666664
162,0.05638453608247422
163,0.05759175257731959
164,0.05651578947368421
165,0.055920000000000004
166,0.05589270833333334
167,0.05584893617021276
168,0.05602448979591837
169,0.05721530612244898
170,0.056656382978723406
171,0.05652061855670103
172,0.058373737373737376
173,0.0570721649484536
174,0.057685714285714285
175,0.05750721649484536
176,0.058477551020408164
177,0.056344086021505375
178,0.056815463917525774
179,0.05636989247311828
180,0.05803636363636363
181,0.061471
182,0.0586639175257732
183,0.05868125
184,0.05910947368421053
185,0.060195959595959594
186,0.05723958333333334
187,0.058171428571428575
188,0.060788775510204084
189,0.067155
190,0.061958762886597935
191,0.062055670103092785
192,0.06582244897959183
193,0.06191122448979592
194,0.06078469387755102
195,0.06263673469387755
196,0.058832989690721656
197,0.05767578947368421
198,0.05894285714285714
199,0.05693263157894737
200,0.05742886597938144
201,0.05719166666666667
202,0.05916938775510205
203,0.05919791666666666
204,0.059175510204081634
205,0.056487234042553194
206,0.06096060606060606
207,0.05934285714285714
208,0.0568468085106383
209,0.05923917525773196
210,0.05925567010309278
211,0.057302127659574466
212,0.05924742268041237
213,0.05971632653061224
214,0.05848484848484849
215,0.05909381443298969
216,0.05801134020618557
217,0.0575704081632653
218,0.05833711340206185
219,0.057826530612244895
