n,time
1,0.0001929292929292929
2,0.00025555555555555553
3,0.0003606060606060606
4,0.000363265306122449
5,0.00038989898989898994
6,0.00048367346938775507
7,0.0005775510204081633
8,0.000588659793814433
9,0.0006515463917525772
10,0.000734020618556701
11,0.000796875
12,0.0008412371134020619
13,0.0009621052631578947
14,0.0010270833333333334
15,0.001088421052631579
16,0.0011821052631578947
17,0.001324468085106383
18,0.0013968421052631577
19,0.0014287234042553191
20,0.0015580645161290324
21,0.001893877551020408
22,0.001843010752688172
23,0.0018806451612903225
24,0.0019869565217391304
25,0.002115217391304348
26,0.0023322580645161292
27,0.002613265306122449
28,0.0025380434782608695
29,0.002681720430107527
30,0.0029556701030927835
31,0.003162244897959184
32,0.0033306122448979593
33,0.00345979381443299
34,0.003703061224489796
35,0.0039040816326530612
36,0.004043298969072165
37,0.004194949494949495
38,0.0043474747474747475
39,0.004403125
40,0.004668
41,0.004754545454545455
42,0.0050041237113402064
43,0.005171717171717172
44,0.005312371134020618
45,0.005573195876288659
46,0.0057599999999999995
47,0.005880412371134021
48,0.006082653061224489
49,0.006529292929292929
50,0.0068381443298969075
51,0.006993877551020408
52,0.007102061855670102
53,0.007323469387755102
54,0.007401010101010101
55,0.007626804123711341
56,0.007893877551020407
57,0.008085
58,0.008409999999999999
59,0.008497938144329897
60,0.00878989898989899
61,0.009000000000000001
62,0.009548979591836735
63,0.009791919191919192
64,0.01053
65,0.010277551020408164
66,0.010209183673469388
67,0.010501010101010101
68,0.010851546391752577
69,0.01106938775510204
70,0.011285858585858585
71,0.01201734693877551
72,0.011877777777777777
73,0.012160606060606061
74,0.012675510204081633
75,0.012785999999999999
76,0.01328080808080808
77,0.013625510204081632
78,0.013643434343434343
79,0.014073737373737374
80,0.01430808080808081
81,0.014564285714285714
82,0.015055555555555555
83,0.015504040404040404
84,0.015515000000000001
85,0.017563917525773194
86,0.019303
87,0.01859795918367347
88,0.01802142857142857
89,0.01794040404040404
90,0.01809591836734694
91,0.01806734693877551
92,0.018537373737373738
93,0.018762626262626262
94,0.019035714285714284
95,0.019549999999999998
96,0.019596
97,0.020100000000000003
98,0.020547474747474745
99,0.02081
100,0.02118979591836735
101,0.022392857142857145
102,0.022248979591836734
103,0.023520408163265307
104,0.02351734693877551
105,0.023776288659793813
106,0.0238680412371134
107,0.024828571428571426
108,0.025315463917525774
109,0.025296969696969696
110,0.026198979591836733
111,0.026116161616161617
112,0.02729278350515464
113,0.02674020618556701
114,0.02781818181818182
115,0.028722448979591836
116,0.028215463917525774
117,0.029065306122448977
118,0.02910816326530612
119,0.030639393939393942
120,0.030051041666666667
121,0.03077319587628866
122,0.03145050505050505
123,0.03105360824742268
124,0.032174747474747474
125,0.032631958762886604
126,0.032829896907216494
127,0.03361666666666666
128,0.03483877551020408
129,0.03373020833333333
130,0.03492142857142857
131,0.034781443298969074
132,0.0355319587628866
133,0.03589484536082474
134,0.0365030612244898
135,0.0373319587628866
136,0.037675
137,0.03762421052631579
138,0.038475
139,0.039613131313131315
140,0.04186969696969697
141,0.03963814432989691
142,0.041553535353535356
143,0.041116494845360826
144,0.04106428571428572
145,0.042828571428571424
146,0.043309090909090915
147,0.043175510204081634
148,0.045207
149,0.043841237113402064
150,0.04502755102040817
151,0.045000000000000005
152,0.047229
153,0.046013265306122444
154,0.047165306122448986
155,0.04749166666666666
156,0.04833333333333333
157,0.04903434343434344
158,0.05012040816326531
159,0.050922999999999996
160,0.05216632653061225
161,0.05284040404040404
162,0.05486767676767677
163,0.05293367346938776
164,0.0555
165,0.05330520833333333
166,0.0533680412371134
167,0.05407422680412371
168,0.05633163265306123
169,0.055551578947368424
170,0.05742244897959183
171,0.0566360824742268
172,0.05937373737373738
173,0.0600070707070707
174,0.05986262626262626
175,0.059880612244897956
176,0.059519999999999997
177,0.06202448979591837
178,0.06275959595959596
179,0.061629473684210526
180,0.06304591836734694
181,0.06343263157894738
182,0.06373297872340425
183,0.06635858585858585
184,0.06692323232323233
185,0.0668659793814433
186,0.06637708333333334
187,0.06624947368421052
188,0.06803936170212765
189,0.070271
190,0.07095454545454545
191,0.0719030303030303
192,0.07239494949494948
193,0.07121473684210526
194,0.07455
195,0.07354105263157894
196,0.07416530612244898
197,0.0757561224489796
198,0.07509894736842106
199,0.07753775510204082
200,0.07723367346938775
201,0.07903163265306122
202,0.07936464646464647
203,0.07904526315789473
204,0.08146363636363636
205,0.08148736842105263
206,0.08460808080808081
207,0.08249999999999999
208,0.08210215053763441
209,0.08492244897959184
210,0.08402765957446809
211,0.08520000000000001
212,0.08702653061224491
213,0.08803030303030303
214,0.08872886597938144
215,0.09167777777777777
216,0.08773750000000001
217,0.09060309278350515
218,0.09219081632653062
219,0.09074479166666666
220,0.0915595744680851
221,0.09348979591836735
222,0.0966
223,0.09438541666666667
224,0.09684242424242424
225,0.09796060606060607
226,0.09542021276595744
227,0.09730315789473684
228,0.10032551020408165
229,0.10067604166666666
230,0.10156326530612246
231,0.10635656565656565
232,0.10392142857142858
233,0.10425918367346938
234,0.1027378947368421
235,0.10533711340206187
236,0.10581938775510204
237,0.10622083333333333
238,0.1067680412371134
239,0.10880204081632652
240,0.10852083333333333
241,0.10808709677419354
242,0.11187755102040817
243,0.11265567010309278
244,0.11377676767676767
245,0.11611414141414142
246,0.11574949494949494
247,0.11607113402061857
248,0.1190030303030303
249,0.12657142857142856
250,0.12076060606060605
251,0.11758645833333332
