n,time
1,0.0010696969696969696
2,0.000983
3,0.0010252525252525252
4,0.001019
5,0.001005
6,0.0010030303030303031
7,0.0010030303030303031
8,0.001018
9,0.000983
10,0.001034020618556701
11,0.0010151515151515151
12,0.001043298969072165
13,0.001006
14,0.001007
15,0.0010030303030303031
16,0.0010060606060606062
17,0.002785714285714286
18,0.0027104166666666665
19,0.002824489795918367
20,0.002705154639175258
21,0.0027422680412371135
22,0.002736363636363636
23,0.002713131313131313
24,0.002739795918367347
25,0.0026489795918367347
26,0.0027153061224489796
27,0.002763636363636364
28,0.0027346938775510204
29,0.002731958762886598
30,0.0027102040816326532
31,0.00278989898989899
32,0.002690816326530612
33,0.00795263157894737
34,0.008101041666666668
35,0.007922105263157895
36,0.007977083333333334
37,0.008075510204081633
38,0.008045360824742267
39,0.007921052631578948
40,0.007912765957446808
41,0.007946875
42,0.008021875
43,0.008206060606060606
44,0.007935416666666667
45,0.00796734693877551
46,0.008105050505050506
47,0.007971875
48,0.007896842105263157
49,0.007914736842105263
50,0.008406122448979592
51,0.007990721649484537
52,0.007990625
53,0.008128282828282828
54,0.008007291666666668
55,0.00826060606060606
56,0.008026315789473683
57,0.007953061224489796
58,0.008183000000000001
59,0.008005319148936171
60,0.008018947368421053
61,0.008030612244897959
62,0.008114432989690721
63,0.008034375
64,0.007977083333333334
65,0.023892929292929296
66,0.024092708333333334
67,0.024130927835051545
68,0.023865263157894737
69,0.024309374999999998
70,0.024862244897959185
71,0.024014432989690724
72,0.024814285714285712
73,0.02381979166666667
74,0.024359375000000003
75,0.02384329896907217
76,0.02457171717171717
77,0.024822105263157892
78,0.02470909090909091
79,0.024098958333333333
80,0.023897894736842108
81,0.024064210526315792
82,0.024362244897959184
83,0.02482929292929293
84,0.024106122448979594
85,0.02401086956521739
86,0.024233684210526317
87,0.02444242424242424
88,0.024095652173913046
89,0.024289361702127657
90,0.024946464646464647
91,0.023936082474226805
92,0.024838775510204084
93,0.023783505154639173
94,0.02376063829787234
95,0.024176041666666665
96,0.0238
